https://thenewboston.com/videos_humanities.php?cat=206 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=154 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=202 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=199 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=201 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=137 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=212 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=217 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=211 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=220 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=213 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=208 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=207 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=205 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=249 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos_humanities.php?cat=219 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357&video=30038 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357&video=30039 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357&video=30040 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357&video=30041 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=357&video=30042 {'title': '', 'depth': 4, 'priority': 0.5, 'last-modified': None}
